congress,chamber,rollnumber,icpsr,cast_code,prob
114,House,725,20703,9,100
114,House,726,20703,9,100
114,House,727,20703,9,100
114,House,728,20703,9,100
114,House,729,20703,9,99.9
114,House,730,20703,9,99.8
114,House,731,20703,9,99.9
114,House,732,20703,9,99.4
114,House,733,20703,9,100
114,House,734,20703,9,98.7
114,House,735,20703,1,
114,House,736,20703,1,
114,House,737,20703,1,100
114,House,738,20703,1,100
114,House,739,20703,6,98.6
114,House,740,20703,6,96.5
114,House,741,20703,6,100
114,House,742,20703,6,100
114,House,743,20703,1,100
114,House,744,20703,1,
114,House,745,20703,1,100
114,House,746,20703,1,
114,House,747,20703,1,
114,House,748,20703,1,100
114,House,749,20703,1,100
114,House,750,20703,1,99.9
114,House,751,20703,6,99.8
114,House,752,20703,1,
114,House,753,20703,1,100
114,House,754,20703,1,100
114,House,755,20703,1,100
114,House,756,20703,1,100
114,House,757,20703,6,99.9
114,House,758,20703,6,94.5
114,House,759,20703,6,100
114,House,760,20703,6,99.7
114,House,761,20703,1,100
114,House,762,20703,6,100
114,House,763,20703,1,100
114,House,764,20703,1,100
114,House,765,20703,1,100
114,House,766,20703,1,100
114,House,767,20703,1,
114,House,768,20703,6,100
114,House,769,20703,6,100
114,House,770,20703,1,100
114,House,771,20703,6,100
114,House,772,20703,1,100
114,House,773,20703,6,100
114,House,774,20703,6,99.9
114,House,775,20703,6,100
114,House,776,20703,1,100
114,House,777,20703,1,100
114,House,778,20703,1,100
114,House,779,20703,1,100
114,House,780,20703,6,99.9
114,House,781,20703,1,99.9
114,House,782,20703,1,
114,House,783,20703,1,
114,House,784,20703,1,
114,House,785,20703,1,100
114,House,786,20703,1,100
114,House,787,20703,6,99.8
114,House,788,20703,6,99.9
114,House,789,20703,1,99.6
114,House,790,20703,1,100
114,House,791,20703,1,100
114,House,792,20703,6,100
114,House,793,20703,6,100
114,House,794,20703,6,100
114,House,795,20703,1,100
114,House,796,20703,1,100
114,House,797,20703,1,99.8
114,House,798,20703,1,100
114,House,799,20703,6,99.9
114,House,800,20703,6,100
114,House,801,20703,1,99.9
114,House,802,20703,1,
114,House,803,20703,1,
114,House,804,20703,1,
114,House,805,20703,1,
114,House,806,20703,1,100
114,House,807,20703,1,100
114,House,808,20703,1,
114,House,809,20703,1,100
114,House,810,20703,1,61.1
114,House,811,20703,1,
114,House,812,20703,1,
114,House,813,20703,1,
114,House,814,20703,1,100
114,House,815,20703,1,100
114,House,816,20703,1,
114,House,817,20703,1,
114,House,818,20703,6,99.9
114,House,819,20703,6,100
114,House,820,20703,6,100
114,House,821,20703,6,100
114,House,822,20703,6,100
114,House,823,20703,1,100
114,House,824,20703,1,
114,House,825,20703,1,
114,House,826,20703,1,
114,House,827,20703,1,100
114,House,828,20703,1,100
114,House,829,20703,1,100
114,House,830,20703,1,
114,House,831,20703,1,100
114,House,832,20703,1,100
114,House,833,20703,1,
114,House,834,20703,1,
114,House,835,20703,1,
114,House,836,20703,6,99.9
114,House,837,20703,1,100
114,House,838,20703,1,
114,House,839,20703,1,97.2
114,House,840,20703,1,
114,House,841,20703,1,100
114,House,842,20703,1,100
114,House,843,20703,1,100
114,House,844,20703,1,100
114,House,845,20703,1,100
114,House,846,20703,1,100
114,House,847,20703,6,99.6
114,House,848,20703,1,99.9
114,House,849,20703,1,100
114,House,850,20703,6,99.5
114,House,851,20703,6,100
114,House,852,20703,1,100
114,House,853,20703,1,
114,House,854,20703,1,
114,House,855,20703,1,100
114,House,856,20703,1,100
114,House,857,20703,1,100
114,House,858,20703,1,100
114,House,859,20703,6,100
114,House,860,20703,1,100
114,House,861,20703,1,100
114,House,862,20703,1,100
