59	6	1	1	 HRES121	 Failed	 Affirming the Congress’ Opposition to All Forms of Racism and Bigotry	 On Motion to Suspend the Rules and Agree	 H RES 121 QUESTION: ON MOTION TO SUSPEND THE RULES AND AGREE AFFIRMING THE CONGRESS' OPPOSITION TO ALL FORMS OF RACISM AND BIGOTRY										
60	1	1	0	 HR70	 Passed	 Arlington National Cemetery Burial Eligibility Act	 On Motion to Suspend the Rules and Pass	 H R 70 QUESTION: ON MOTION TO SUSPEND THE RULES AND PASS ARLINGTON NATIONAL CEMETERY BURIAL ELIGIBILITY ACT										
61	1	1	0	 HCONRES56	 Passed	 Commemorating the 20th Anniversary of the Taiwan Relations Act	 Suspend the Rules and Agree	 H CON RES 56 QUESTION: SUSPEND THE RULES AND AGREE COMMEMORATING THE 20TH ANNIVERSARY OF THE TAIWAN RELATIONS ACT										
62	1	1	0	 HCONRES37	 Passed	 Concerning Anti-Semitic Statements Made by Members of the Duma of the Russian Federation	 Suspend the Rules and Agree	 as amended	 H CON RES 37 QUESTION: SUSPEND THE RULES AND AGREE	 AS AMENDED CONCERNING ANTI-SEMITIC STATEMENTS MADE BY MEMBERS OF THE DUMA OF THE RUSSIAN FEDERATION								
63	1	6	1	 HR800	 Failed	 Education Flexibility Partnership Act	 On Motion to Instruct Conferees	 H R 800 QUESTION: ON MOTION TO INSTRUCT CONFEREES EDUCATION FLEXIBILITY PARTNERSHIP ACT										
64	1	6	1	 HRES101	 Failed	 Committee Funding Resolution for the 106th Congress	 On Motion to Recommit with Instructions	 H RES 101 QUESTION: ON MOTION TO RECOMMIT WITH INSTRUCTIONS COMMITTEE FUNDING RESOLUTION FOR THE 106TH CONGRESS										
65	6	1	1	 HRES101	 Passed	 Committee Funding Resolution for the 106th Congress	 On Agreeing to the Resolution	 H RES 101 QUESTION: ON AGREEING TO THE RESOLUTION COMMITTEE FUNDING RESOLUTION FOR THE 106TH CONGRESS										
66	6	6	0	 HR1141	 Failed	 nan	 On Agreeing to the Amendment	 H R 1141 AUTHOR(S): STENHOLM OF TEXAS AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT EMERGENCY SUPPLEMENTAL APPROPRIATIONS FOR FY 1999										
67	1	6	1	 HR1141	 Failed	 Emergency Supplemental Appropriations for FY 1999	 On Agreeing to the Amendment	 H R 1141 AUTHOR(S): OBEY OF WISCONSIN AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT EMERGENCY SUPPLEMENTAL APPROPRIATIONS FOR FY 1999										
68	6	1	1	 HR1141	 Failed	 nan	 On Agreeing to the Amendment	 H R 1141 AUTHOR(S): TIAHRT OF KANSAS AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT EMERGENCY SUPPLEMENTAL APPROPRIATIONS FOR FY 1999										
69	6	1	1	 HR1141	 Passed	 Emergency Supplemental Appropriations for FY 1999	 On Passage	 H R 1141 QUESTION: ON PASSAGE EMERGENCY SUPPLEMENTAL APPROPRIATIONS FOR FY 1999										
70	1	1	0	 HRES130	 Passed	 Expressing support of the House of Representatives for the members of the U.S. Armed Forces engaged in military operations against the Federal Republic of Yugoslavia	 On Agreeing to the Resolution	 H RES 130 QUESTION: ON AGREEING TO THE RESOLUTION EXPRESSING SUPPORT OF THE HOUSE OF REPRESENTATIVES FOR THE MEMBERS OF THE U.S. ARMED FORCES ENGAGED IN MILITARY OPERATIONS AGAINST THE FEDERAL REPUBLIC OF YUGOSLAVIA										
71	6	1	1	 HRES131	 Passed	 Providing for the consideration of H. Con. Res. 68	 Congressional Budget for U.S. Government for FY 2000	 On Ordering the Previous Question	 H RES 131 QUESTION: ON ORDERING THE PREVIOUS QUESTION PROVIDING FOR THE CONSIDERATION OF H. CON. RES. 68	 CONGRESSIONAL BUDGET FOR U.S. GOVERNMENT FOR FY 2000								
72	6	1	1	 HRES131	 Passed	 Providing for the consideration of H. Con. Res. 68	 Congressional Budget for U.S. Government for FY 2000	 On Agreeing to the Resolution	 H RES 131 QUESTION: ON AGREEING TO THE RESOLUTION PROVIDING FOR THE CONSIDERATION OF H. CON. RES. 68	 CONGRESSIONAL BUDGET FOR U.S. GOVERNMENT FOR FY 2000								
73	6	6	0	 HCONRES68	 Failed	 nan	 On Agreeing to the Amendment	 H CON RES 68 AUTHOR(S): COBURN OF OKLAHOMA SUBSTITUTE AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONGRESSIONAL BUDGET FOR U.S. GOVERNMENT FOR FY 2000										
74	1	6	1	 HCONRES68	 Failed	 nan	 On Agreeing to the Amendment	 H CON RES 68 AUTHOR(S): MINGE OF MINNESOTA SUBSTITUTE AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONGRESSIONAL BUDGET FOR U.S. GOVERNMENT FOR FY 2000										
75	1	6	1	 HCONRES68	 Failed	 nan	 On Agreeing to the Amendment	 H CON RES 68 AUTHOR(S): SPRATT OF SOUTH CAROLINA SUBSTITUTE AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT CONGRESSIONAL BUDGET FOR U.S. GOVERNMENT FOR FY 2000										
76	6	1	1	 HCONRES68	 Passed	 Congressional Budget for U.S. Government for FY 2000	 On Agreeing to the Resolution	 H CON RES 68 QUESTION: ON AGREEING TO THE RESOLUTION CONGRESSIONAL BUDGET FOR U.S. GOVERNMENT FOR FY 2000										
77	1	1	0	 HRES135	 Passed	 Agree to Senate Amendments with Amendment to H.R. 98	 Aviation War Risk Insurance Program Extension	 On Motion to Suspend the Rules and Agree	 H RES 135 QUESTION: ON MOTION TO SUSPEND THE RULES AND AGREE AGREE TO SENATE AMENDMENTS WITH AMENDMENT TO H.R. 98	 AVIATION WAR RISK INSURANCE PROGRAM EXTENSION								
78	1	1	0	 HR911	 Passed	 To Designate the Federal Building located at 310 New Bern Avenue in Raleigh	 North Carolina	 as the “Terry Sanford Federal Building”.	 On Motion to Suspend the Rules and Pass	 as Amended	 H R 911 QUESTION: ON MOTION TO SUSPEND THE RULES AND PASS	 AS AMENDED TO DESIGNATE THE FEDERAL BUILDING LOCATED AT 310 NEW BERN AVENUE IN RALEIGH	 NORTH CAROLINA	" AS THE ""TERRY SANFORD FEDERAL BUILDING""."				
79	1	1	0	 HCONRES68	 Passed	 Congressional Budget for U.S. Government for FY 2000	 On Motion to Instruct Conferees	 H CON RES 68 QUESTION: ON MOTION TO INSTRUCT CONFEREES CONGRESSIONAL BUDGET FOR U.S. GOVERNMENT FOR FY 2000										
80	1	1	0	 HR46	 Passed	 Public Safety Officer Medal of Valor Act of 1999	 On Motion to Suspend Rules and Pass	 H R 46 QUESTION: ON MOTION TO SUSPEND RULES AND PASS PUBLIC SAFETY OFFICER MEDAL OF VALOR ACT OF 1999										
81	1	1	0	 HCONRES35	 Passed	 Congratulating the State of Qatar and its Citizens for their Commitment to Democratic Ideals and Women’s Suffrage	 On Motion to Suspend Rules and Agree	 as Amended	 H CON RES 35 QUESTION: ON MOTION TO SUSPEND RULES AND AGREE	 AS AMENDED CONGRATULATING THE STATE OF QATAR AND ITS CITIZENS FOR THEIR COMMITMENT TO DEMOCRATIC IDEALS AND WOMEN'S SUFFRAGE								
82	1	1	0	 nan	 Passed	 nan	 On Approving the Journal	 JOURNAL QUESTION: ON APPROVING THE JOURNAL										
83	6	1	1	 HRES137	 Passed	 Waiving Points of Order Against the Conference Report H. Con. Res 68	 Congressional Budget for U.S.Government for FY 2000	 On Agreeing to the Resolution	 H RES 137 QUESTION: ON AGREEING TO THE RESOLUTION WAIVING POINTS OF ORDER AGAINST THE CONFERENCE REPORT H. CON. RES 68	 CONGRESSIONAL BUDGET FOR U.S.GOVERNMENT FOR FY 2000								
84	6	1	1	 HCONRES68	 Passed	 Congressional Budget for U.S. Government for FY 2000	 On Agreeing to the Conference Report	 H CON RES 68 QUESTION: ON AGREEING TO THE CONFERENCE REPORT CONGRESSIONAL BUDGET FOR U.S. GOVERNMENT FOR FY 2000										
85	6	1	1	 HRES138	 Passed	 Providing for the consideration of H.R. 472	 Local Census Quality Control Act	 On Ordering the Previous Question	 H RES 138 QUESTION: ON ORDERING THE PREVIOUS QUESTION PROVIDING FOR THE CONSIDERATION OF H.R. 472	 LOCAL CENSUS QUALITY CONTROL ACT								
86	6	1	1	 HRES138	 Passed	 Providing for the consideration of H.R. 472	 Local Census Quality Control Act	 On Agreeing to the Resolution	 H RES 138 QUESTION: ON AGREEING TO THE RESOLUTION PROVIDING FOR THE CONSIDERATION OF H.R. 472	 LOCAL CENSUS QUALITY CONTROL ACT								
87	1	6	1	 HR472	 Failed	 nan	 On Agreeing to the Amendment	 H R 472 AUTHOR(S): MALONEY OF NEW YORK SUBSTITUTE AMENDMENT QUESTION: ON AGREEING TO THE AMENDMENT LOCAL CENSUS QUALITY CONTROL ACT										
88	6	1	1	 HR472	 Passed	 Local Census Quality Control Act	 On Passage	 H R 472 QUESTION: ON PASSAGE LOCAL CENSUS QUALITY CONTROL ACT										
89	6	1	1	 HJRES37	 Failed	 Proposing an Amendment to the Constitution of the United States With Respect to Tax Limitations	 On Passage	 H J RES 37 QUESTION: ON PASSAGE PROPOSING AN AMENDMENT TO THE CONSTITUTION OF THE UNITED STATES WITH RESPECT TO TAX LIMITATIONS										
