Name, State, District, allAverage, partisanAverage, billAverage,procedureAverage,resolutionAverage
BROWN; Corrine, FL, 3, 0.9658986175115207, 0.9530332681017613, 0.9740740740740741, 0.975, 0.9302325581395349
FOWLER; Tillie Kidd, FL, 4, 0.9685476410730804, 0.9617706237424547, 0.9924242424242424, 0.9452054794520548, 1.0
THURMAN; Karen L., FL, 5, 0.9594594594594594, 0.9252525252525252, 0.9612676056338029, 0.9494097807757167, 0.9828326180257511
MICA; John L., FL, 7, 0.968365553602812, 0.971042471042471, 0.9928825622775801, 0.9454253611556982, 1.0
CANADY; Charles Terrance, FL, 12, 0.9844155844155844, 0.9826589595375722, 0.9863481228668942, 0.9774193548387097, 1.0
MILLER; Daniel, FL, 13, 0.954341987466428, 0.9662698412698413, 0.9927272727272727, 0.9191419141914191, 1.0
MEEK; Carrie P., FL, 17, 0.9701213818860878, 0.9620758483033932, 0.9704797047970479, 0.9740034662045061, 0.9596412556053812
DEUTSCH; Peter R., FL, 20, 0.9575971731448764, 0.9298245614035088, 0.9363957597173145, 0.9539473684210527, 0.991701244813278
DIAZ-BALART; Lincoln, FL, 21, 0.9552102376599635, 0.925531914893617, 0.974910394265233, 0.9313893653516295, 0.9913793103448276
HASTINGS; Alcee Lamar, FL, 23, 0.9754661432777233, 0.9797160243407708, 0.9647058823529412, 0.9763636363636363, 0.985981308411215
WELDON; David Joseph, FL, 15, 0.9668122270742358, 0.9845857418111753, 0.9755244755244755, 0.9498381877022654, 1.0
FOLEY; Mark A., FL, 16, 0.940864960282436, 0.8918918918918919, 0.9898305084745763, 0.893760539629005, 0.9959183673469387
BOYD; F. Allen; Jr., FL, 2, 0.9195612431444241, 0.8171806167400881, 0.8993055555555556, 0.9245614035087719, 0.9322033898305084
DAVIS; Jim, FL, 11, 0.9522968197879859, 0.9044715447154471, 0.9270833333333334, 0.9633333333333334, 0.9549180327868853
WEXLER; Robert, FL, 19, 0.970216606498195, 0.9551656920077972, 0.9602888086642599, 0.9717607973421927, 0.9781659388646288
SCARBOROUGH; Charles Joseph, FL, 1, 0.9263392857142857, 0.9347319347319347, 0.9777777777777777, 0.8809034907597536, 0.9836956521739131
LEWIS; John R., GA, 5, 0.9720670391061452, 0.980806142034549, 0.9850187265917603, 0.9622641509433962, 0.9821428571428571
KINGSTON; Jack, GA, 1, 0.9525547445255474, 0.9784735812133072, 0.9887218045112782, 0.9195979899497487, 0.9957081545064378
BISHOP; Sanford Dixon; Jr., GA, 2, 0.8961748633879781, 0.773109243697479, 0.8819444444444444, 0.9070567986230637, 0.8864628820960698
COLLINS; Michael Allen (Mac), GA, 3, 0.9623318385650225, 0.9885714285714285, 0.978021978021978, 0.9427168576104746, 0.9956709956709957
LINDER; John Elmer, GA, 11, 0.95822454308094, 0.9806949806949807, 0.9965635738831615, 0.9260450160771704, 0.9957627118644068
McKINNEY; Cynthia Ann, GA, 4, 0.9408450704225352, 0.9461538461538461, 0.9523809523809523, 0.9258010118043845, 0.9681818181818181
BARR; Bob, GA, 7, 0.9496738117427772, 0.9801192842942346, 0.9730769230769231, 0.9220338983050848, 0.9955156950672646
CHAMBLISS; Saxby, GA, 8, 0.9851268591426072, 0.9865384615384616, 0.993103448275862, 0.9758064516129032, 1.0
NORWOOD; Charles W.; Jr., GA, 10, 0.9685251798561151, 0.9826923076923076, 0.9782608695652174, 0.9554455445544554, 0.991304347826087
ISAKSON; Johnny, GA, 6, 0.9819494584837545, 0.9735234215885947, 1.0, 0.9663865546218487, 1.0
DEAL; John Nathan, GA, 9, 0.975, 0.9882121807465619, 0.9782608695652174, 0.9656862745098039, 0.9956896551724138
MINK; Patsy Takemoto, HI, 2, 0.9495575221238938, 0.9429657794676806, 0.9532374100719424, 0.9408, 0.9691629955947136
ABERCROMBIE; Neil, HI, 1, 0.9458483754512635, 0.9147286821705426, 0.948339483394834, 0.9449838187702265, 0.9452054794520548
CHENOWETH-HAGE; Helen P., ID, 1, 0.9486581096849475, 0.9795918367346939, 0.9726775956284153, 0.9235537190082644, 0.9894736842105263
SIMPSON; Michael K., ID, 2, 0.9816433566433567, 0.9862475442043221, 0.9965753424657534, 0.967373572593801, 1.0
CRANE; Philip Miller, IL, 8, 0.9508840864440079, 0.9876796714579056, 0.9961832061068703, 0.9092592592592592, 1.0
HYDE; Henry John, IL, 6, 0.9663716814159292, 0.9611451942740287, 0.9790940766550522, 0.9502487562189055, 0.9916666666666667
PORTER; John Edward, IL, 10, 0.8985365853658537, 0.801909307875895, 0.985239852398524, 0.8176691729323309, 0.9864864864864865
EVANS; Lane Allen, IL, 17, 0.9563318777292577, 0.9570093457943926, 0.9750889679715302, 0.9349206349206349, 0.9914529914529915
LIPINSKI; William Oliver, IL, 3, 0.891542288557214, 0.7972972972972973, 0.8830188679245283, 0.8809980806142035, 0.9269406392694064
HASTERT; John Dennis, IL, 14, 0.9715447154471545, 0.9754601226993865, 1.0, 0.9590163934426229, 0.9655172413793104
COSTELLO; Jerry Francis, IL, 12, 0.9039385206532181, 0.8336798336798337, 0.9117647058823529, 0.8789571694599627, 0.9525862068965517
EWING; Thomas W., IL, 15, 0.9683426443202979, 0.976890756302521, 0.996268656716418, 0.9449225473321858, 0.9955555555555555
RUSH; Bobby L., IL, 1, 0.9706477732793523, 0.9878048780487805, 0.9910714285714286, 0.9573712255772646, 0.9850746268656716
GUTI�RREZ; Luis V., IL, 4, 0.9650698602794411, 0.9757575757575757, 0.9795081967213115, 0.9524680073126143, 0.981042654028436
MANZULLO; Donald A., IL, 16, 0.9427549194991055, 0.97678916827853, 1.0, 0.896551724137931, 0.9956896551724138
WELLER; Gerald C. (Jerry), IL, 11, 0.9529085872576177, 0.937246963562753, 0.9896907216494846, 0.9128856624319419, 1.0
LaHOOD; Ray H., IL, 18, 0.9429590017825312, 0.9153225806451613, 0.9928825622775801, 0.9011532125205931, 0.9914529914529915
JACKSON; Jesse L.; Jr., IL, 2, 0.9571810883140054, 0.974025974025974, 0.9738805970149254, 0.9405144694533762, 0.9826839826839827
BLAGOJEVICH; Rod R., IL, 5, 0.938572719060524, 0.9156862745098039, 0.9516728624535316, 0.93042071197411, 0.9454545454545454
DAVIS; Danny K., IL, 7, 0.9696969696969697, 0.9885714285714285, 0.9849056603773585, 0.9585406301824212, 0.9819004524886877
SHIMKUS; John M., IL, 20, 0.9624893435635123, 0.9600760456273765, 0.9898305084745763, 0.9385826771653544, 0.9917695473251029
SCHAKOWSKY; Janice D., IL, 9, 0.9672131147540983, 0.979047619047619, 0.9701492537313433, 0.9573070607553367, 0.9909502262443439
BIGGERT; Judy Borg, IL, 13, 0.9416445623342176, 0.9201680672268907, 0.993127147766323, 0.8941176470588236, 0.9959183673469387
PHELPS; David Dwain, IL, 19, 0.9057639524245197, 0.8075313807531381, 0.9087719298245615, 0.8931698774080561, 0.9324894514767933
BURTON; Danny Lee, IN, 6, 0.9547553093259464, 0.9822485207100592, 0.9777777777777777, 0.9279588336192109, 0.9956521739130435
VISCLOSKY; Peter, IN, 1, 0.9506641366223909, 0.9485148514851485, 0.9628252788104089, 0.9267857142857143, 0.9955555555555555
ROEMER; Timothy John, IN, 3, 0.8923076923076924, 0.778969957081545, 0.8907849829351536, 0.8811188811188811, 0.9208333333333333
BUYER; Stephen Earle, IN, 5, 0.9632690541781451, 0.9799196787148594, 0.9887218045112782, 0.9398998330550918, 0.9955357142857143
McINTOSH; David Martin, IN, 2, 0.9475753604193972, 0.9720101781170484, 0.9936305732484076, 0.915929203539823, 0.9935064935064936
SOUDER; Mark Edward, IN, 4, 0.9681818181818181, 0.9862475442043221, 0.978021978021978, 0.9530988274706867, 0.9956521739130435
HOSTETTLER; John Nathan, IN, 8, 0.9377901578458682, 0.9784313725490196, 0.9795918367346939, 0.8971807628524047, 1.0
PEASE; Edward Allan, IN, 7, 0.9532871972318339, 0.9555984555984556, 0.9965156794425087, 0.9156050955414012, 1.0
CARSON; Julia May, IN, 10, 0.965082444228904, 0.9743589743589743, 0.983739837398374, 0.9569707401032702, 0.9656862745098039
HILL; Baron P., IN, 9, 0.9335130278526504, 0.8662551440329218, 0.9315068493150684, 0.9200680272108843, 0.9699570815450643
LEACH; James Albert Smith, IA, 1, 0.907103825136612, 0.8286334056399133, 0.9896193771626297, 0.8257042253521126, 1.0
NUSSLE; James Allen, IA, 2, 0.9514991181657848, 0.9567779960707269, 0.9965277777777778, 0.9132569558101473, 0.9957446808510638
GANSKE; Greg, IA, 4, 0.9165103189493433, 0.8688888888888889, 0.9813432835820896, 0.8540925266903915, 0.9915254237288136
LATHAM; Thomas, IA, 5, 0.9648814749780509, 0.9745098039215686, 1.0, 0.9358552631578947, 0.99581589958159
BOSWELL; Leonard L., IA, 3, 0.8972727272727272, 0.7923728813559322, 0.8846153846153846, 0.8881118881118881, 0.9338842975206612
TIAHRT; Todd, KS, 4, 0.9605026929982047, 0.9865125240847784, 0.9926739926739927, 0.9344262295081968, 0.9913419913419913
MORAN; Jerry, KS, 1, 0.9590536851683349, 0.9571984435797666, 0.9964788732394366, 0.9270833333333334, 0.9916317991631799
