congress,year,name,party,state,district,margin,allAverage,partisanAverage,billAverage,procedureAverage,resolutionAverage
2012,112, CRITZ; Mark S.,100,PA,12,-3.470515517,0.76719057,0.657407407,0.863636364,0.767699115,0.694444444
2000,106, CROWLEY; Joseph,100,NY,7,34.95703313,0.965517241,0.946640316,0.965838509,0.960144928,0.978070175
2002,107, CROWLEY; Joseph,100,NY,7,31.19054013,0.790967742,0.698492462,0.840909091,0.795857988,0.732718894
2004,108, CROWLEY; Joseph,100,NY,7,44.25929265,0.739504844,0.616895874,0.807971014,0.754807692,0.632911392
2006,109, CROWLEY; Joseph,100,NY,7,50.22056602,0.731934732,0.601279318,0.823529412,0.741025641,0.63562753
2008,110, CROWLEY; Joseph,100,NY,7,50.0420477,0.73105802,0.589542484,0.828877005,0.756923077,0.609977324
2010,111, CROWLEY; Joseph,100,NY,7,58.68675424,0.700292398,0.558704453,0.794029851,0.708609272,0.615384615
2012,112, CROWLEY; Joseph,100,NY,14,56.68352876,0.726487524,0.607017544,0.810699588,0.745182013,0.638554217
2016,114, CROWLEY; Joseph,100,NY,14,56.5004739,0.759951749,0.636568849,0.807511737,0.782967033,0.686507937
2000,106, CUBIN; Barbara L.,200,WY,0,38.25031086,0.970856102,0.984526112,0.996621622,0.947826087,0.995594714
2002,107, CUBIN; Barbara L.,200,WY,0,24.3027801,0.82171799,0.759656652,0.988023952,0.658940397,0.966216216
2004,108, CUBIN; Barbara L.,200,WY,0,13.42933481,0.806845966,0.787974684,0.986363636,0.644391408,0.966480447
2006,109, CUBIN; Barbara L.,200,WY,0,0.515760773,0.775903614,0.726984127,0.991071429,0.56,0.961165049
2008,110, CUELLAR; Henry,100,TX,28,39.48481139,0.732118758,0.599493029,0.817934783,0.765765766,0.611607143
2010,111, CUELLAR; Henry,100,TX,28,14.39202169,0.701991465,0.559947299,0.783382789,0.711356467,0.625287356
2012,112, CUELLAR; Henry,100,TX,28,38.12188717,0.743295019,0.612318841,0.810126582,0.769230769,0.660766962
2016,114, CUELLAR; Henry,100,TX,28,34.8868479,0.727803738,0.585106383,0.824786325,0.750708215,0.6133829
2004,108, CULBERSON; John,200,TX,7,30.81077723,0.796966161,0.789473684,0.990654206,0.621867882,0.970588235
2006,109, CULBERSON; John,200,TX,7,20.74321304,0.785714286,0.745762712,0.990990991,0.584507042,0.968181818
2012,112, CULBERSON; John,200,TX,7,24.37435327,0.758449304,0.76146789,0.990610329,0.576923077,0.95951417
2014,113, CULBERSON; John,200,TX,7,28.71686019,0.770676692,0.793604651,1,0.595936795,0.978142077
2016,114, CULBERSON; John,200,TX,7,12.34713325,0.791889007,0.756476684,0.982608696,0.609071274,0.959016393
2018,115, CULBERSON; John,200,TX,7,-5.056218981,0.760869565,0.735064935,0.991489362,0.521186441,0.988416988
2000,106, CUMMINGS; Elijah Eugene,100,MD,7,74.2287659,0.985152838,0.990530303,0.987915408,0.98440208,0.983122363
2002,107, CUMMINGS; Elijah Eugene,100,MD,7,47.18906234,0.79875,0.704156479,0.856481481,0.805633803,0.733624454
2004,108, CUMMINGS; Elijah Eugene,100,MD,7,48.80254735,0.73830735,0.610778443,0.808118081,0.755102041,0.629787234
2008,110, CUMMINGS; Elijah Eugene,100,MD,7,60.91601986,0.728335626,0.585204756,0.825136612,0.755725191,0.605080831
2010,111, CUMMINGS; Elijah Eugene,100,MD,7,52.34404239,0.707792208,0.566801619,0.788519637,0.720257235,0.62817552
2012,112, CUMMINGS; Elijah Eugene,100,MD,7,55.69949787,0.719465649,0.598958333,0.809917355,0.729211087,0.640949555
2014,113, CUMMINGS; Elijah Eugene,100,MD,7,42.92801571,0.767701863,0.653421634,0.847715736,0.767507003,0.705179283
2016,114, CUMMINGS; Elijah Eugene,100,MD,7,53.08110074,0.752116082,0.632286996,0.822429907,0.768802228,0.669291339
2018,115, CUMMINGS; Elijah Eugene,100,MD,7,55.18454157,0.787593985,0.698529412,0.879432624,0.790983607,0.693877551
2000,106, CUNNINGHAM; Randall (Duke),200,CA,51,33.93701993,0.977332171,0.99032882,0.996932515,0.958833619,0.995798319
2002,107, CUNNINGHAM; Randall (Duke),200,CA,50,31.98591786,0.848341232,0.799342105,0.982758621,0.708333333,0.975490196
2004,108, CUNNINGHAM; Randall (Duke),200,CA,50,21.92494332,0.799782372,0.78962536,0.983739837,0.627705628,0.962085308
2016,114, CURBELO; Carlos,200,FL,26,11.78219304,0.778723404,0.743523316,0.982378855,0.59375,0.961373391
2018,115, CURBELO; Carlos,200,FL,26,-1.749230279,0.765909091,0.731301939,0.986238532,0.535632184,0.995594714
2018,115, CURTIS; John R.,200,UT,3,40.24214048,0.800395257,0.772727273,0.993197279,0.505102041,0.981595092
2010,111, DAHLKEMPER; Kathleen A. (Kathy),100,PA,3,-11.44483227,0.705967977,0.56420765,0.780864198,0.715210356,0.636574074
2016,114, DAVIDSON; Warren,200,OH,8,41.79308523,0.803149606,0.809090909,0.986111111,0.564356436,0.938271605
2018,115, DAVIDSON; Warren,200,OH,8,33.15207193,0.754953076,0.721784777,0.987288136,0.510729614,0.984435798
2004,108, DAVIS; Artur,100,AL,7,50.02861371,0.740131579,0.604508197,0.820224719,0.764563107,0.605150215
2000,106, DAVIS; Danny K.,100,IL,7,71.8657572,0.96969697,0.988571429,0.986842105,0.955673759,0.981900452
2000,106, DAVIS; Danny K.,100,IL,19,29.12278657,0.96969697,0.988571429,0.986842105,0.955673759,0.981900452
2002,107, DAVIS; Danny K.,100,IL,7,67.96315066,0.797435897,0.695979899,0.847222222,0.810650888,0.730088496
2004,108, DAVIS; Danny K.,100,IL,7,72.26489468,0.748853211,0.630252101,0.817490494,0.757894737,0.655021834
2006,109, DAVIS; Danny K.,100,IL,7,73.40843944,0.736211031,0.602197802,0.82464455,0.751336898,0.638554217
2008,110, DAVIS; Danny K.,100,IL,7,70.03507733,0.733853797,0.595367847,0.817174515,0.755905512,0.627118644
2010,111, DAVIS; Danny K.,100,IL,7,65.41835963,0.708850932,0.576149425,0.789308176,0.727115717,0.616368286
2012,112, DAVIS; Danny K.,100,IL,7,73.65475588,0.731804586,0.615245009,0.826271186,0.736238532,0.658610272
2014,113, DAVIS; Danny K.,100,IL,7,70.190588,0.766283525,0.655011655,0.85106383,0.761904762,0.705882353
2016,114, DAVIS; Danny K.,100,IL,7,68.47908669,0.76044226,0.637583893,0.83255814,0.788405797,0.661417323
2018,115, DAVIS; Danny K.,100,IL,7,75.23015883,0.789940828,0.698369565,0.872093023,0.822368421,0.67
2006,109, DAVIS; Geoffrey C. (Geoff),200,KY,4,8.313351272,0.781897492,0.741144414,0.991341991,0.581497797,0.965517241
2008,110, DAVIS; Geoffrey C. (Geoff),200,KY,4,26.06749094,0.782820097,0.782122905,0.996254682,0.614475628,0.979310345
2010,111, DAVIS; Geoffrey C. (Geoff),200,KY,4,38.95481609,0.738156761,0.729941292,0.988142292,0.514285714,0.961661342
2006,109, DAVIS; Jo Ann,200,VA,1,27.4821252,0.776084408,0.741176471,0.995555556,0.558472554,0.976076555
2004,108, DAVIS; Lincoln,100,TN,4,11.2671485,0.723585912,0.58984375,0.831501832,0.744680851,0.564315353
2006,109, DAVIS; Lincoln,100,TN,4,32.89202912,0.734375,0.599585062,0.863070539,0.754950495,0.577689243
2008,110, DAVIS; Lincoln,100,TN,4,20.94793939,0.729692833,0.587926509,0.820580475,0.758409786,0.606481481
2010,111, DAVIS; Lincoln,100,TN,4,-18.50530487,0.699541284,0.556187767,0.780952381,0.71331058,0.616707617
2014,113, DAVIS; Rodney,200,IL,13,17.31186273,0.76825029,0.793478261,0.989637306,0.589852008,0.979695431
2016,114, DAVIS; Rodney,200,IL,13,19.32988543,0.788747346,0.748717949,0.982378855,0.610526316,0.958333333
2018,115, DAVIS; Rodney,200,IL,13,0.759462841,0.765392781,0.725848564,0.995633188,0.527114967,0.992063492
2002,107, DAVIS; Susan A.,100,CA,53,24.41125839,0.801479655,0.699300699,0.841201717,0.826210826,0.72246696
2004,108, DAVIS; Susan A.,100,CA,53,37.28029769,0.73204716,0.598039216,0.799270073,0.758373206,0.609958506
2006,109, DAVIS; Susan A.,100,CA,53,37.55809041,0.730232558,0.602536998,0.830357143,0.730569948,0.64
2008,110, DAVIS; Susan A.,100,CA,53,41.03599358,0.733243968,0.593869732,0.81865285,0.761329305,0.617117117
