State,District,Party,Margin,Lean,Avg_Def,Minority,Nat_Margin,Year,Fresh,Calculated_C6
IA,4,0,3.329598309,20.13,5.3872054,0,-8.6,2018,0,-2.996897184
ID,2,0,21.34043577,29.99,4.9912434,0,-8.6,2018,0,-1.033277847
IL,6,0,-7.150510705,1.82,8.1632653,0,-8.6,2018,0,-1.663892598
IL,12,0,6.178716311,8.36,7.8333333,0,-8.6,2018,0,-0.627065325
IL,13,0,0.759462841,4.3,7.2164948,0,-8.6,2018,0,-1.030878199
IL,14,0,-5.003718048,8.07,4.6532046,0,-8.6,2018,0,-3.414395113
IL,15,0,41.85510626,38.22,4.4351464,0,-8.6,2018,0,2.1408764
IL,16,0,18.24880289,14.21,8.6030664,0,-8.6,2018,0,0.34768067
IL,18,0,34.46689063,26.36,7.089241,0,-8.6,2018,0,1.488842407
IN,2,0,9.671063266,19.4,3.8397329,0,-8.6,2018,0,-2.417735029
IN,3,0,29.45258759,31.8,4.4813278,0,-8.6,2018,1,1.501195158
IN,5,0,13.52336393,15.8,3.8558256,0,-8.6,2018,0,-0.743518087
IN,8,0,28.85943404,26.65,5.1926298,0,-8.6,2018,0,0.912974585
IN,9,0,12.96464857,23.36,6.377551,0,-8.6,2018,1,-0.587808617
KS,1,0,36.29095442,46.15,5.0706567,0,-8.6,2018,1,0.659521954
KS,3,0,-9.662552113,6.13,7.2329689,0,-8.6,2018,0,-2.649652083
KS,4,0,18.87281463,28.73,3.7909836,0,-8.6,2018,1,-0.439375252
KY,1,0,37.17611626,43.14,6.75,0,-8.6,2018,0,0.194310261
KY,2,0,35.64708854,36.93,3.2472939,0,-8.6,2018,0,1.295216777
KY,4,0,27.65725024,35.09,26.0033445,0,-8.6,2018,0,-0.095113025
KY,5,0,57.8867703,57.25,4.3478261,0,-8.6,2018,0,2.75348991
KY,6,0,3.213068857,17.17,4.8945148,0,-8.6,2018,0,-2.891608815
LA,1,0,64.60410285,47.34,2.9103609,0,-8.6,2018,0,8.846985558
LA,1,0,68.2695628,47.34,2.9103609,0,-8.6,2018,0,10.10643759
LA,1,0,55.05690151,47.34,2.9103609,0,-8.6,2018,0,5.566567196
LA,3,0,50.17382076,38.87,3.9349872,0,-8.6,2018,1,5.69572876
LA,3,0,37.87340969,38.87,3.9349872,0,-8.6,2018,1,2.569819971
LA,3,0,51.71279524,38.87,3.9349872,0,-8.6,2018,1,6.08682901
LA,3,0,52.47598021,38.87,3.9349872,0,-8.6,2018,1,6.280777535
LA,4,0,30.61344941,25.25,5.311973,0,-8.6,2018,1,2.363297857
LA,5,0,36.5713163,30.41,4.2857143,0,-8.6,2018,0,2.280687096
LA,6,0,48.95782516,38.11,7.9796265,0,-8.6,2018,0,2.089843698
LA,6,0,61.41923471,38.11,7.9796265,0,-8.6,2018,0,3.651496935
MD,1,0,21.89611017,29.01,8.2482993,0,-8.6,2018,0,-0.473262752
ME,2,0,-1.032444708,3.99,8.961474,0,-8.6,2018,0,-1.005462015
MI,1,0,12.63319669,16.54,6.9282137,0,-8.6,2018,1,0.112244617
MI,2,0,12.34715825,16.79,6.1962134,0,-8.6,2018,0,-0.766316207
MI,3,0,11.2383343,10.33,35.8208955,0,-8.6,2018,0,-0.035052856
MI,4,0,25.24820207,18.26,4.8962656,0,-8.6,2018,0,1.451249718
MI,6,0,4.550876165,6.7,10.5352591,0,-8.6,2018,0,-0.508524165
MI,7,0,7.591676269,12.41,6.8049793,0,-8.6,2018,0,-0.938116995
MI,8,0,-3.834387707,6.82,6.8516912,0,-8.6,2018,0,-2.018213212
MI,10,0,25.32369401,23.64,4.0901503,0,-8.6,2018,1,2.056360131
MN,2,0,-5.507622023,3.65,4.8387097,0,-8.6,2018,1,-1.69086751
MN,3,0,-11.42055618,-2,9.891031,0,-8.6,2018,0,-1.529856309
MN,6,0,22.36084453,23.31,6.5943239,0,-8.6,2018,0,0.094207009
MO,2,0,3.953029521,14.76,3.6175711,0,-8.6,2018,0,-3.233224215
MO,3,0,32.24011731,33.53,4.2785235,0,-8.6,2018,0,0.752782662
MO,4,0,32.10530622,32.02,4.8469388,0,-8.6,2018,0,0.858595578
MO,6,0,33.44236745,28.43,6.8627451,0,-8.6,2018,0,1.173842002
MO,7,0,36.14477745,43.26,3.7374658,0,-8.6,2018,0,0.052115381
MO,8,0,48.37045526,45.37,6.3559322,0,-8.6,2018,0,1.717687338
MS,1,0,34.51871081,32.79,4.4129892,0,-8.6,2018,0,1.365626232
MS,4,0,37.47608746,42.54,5.2770449,0,-8.6,2018,0,0.386380162
MT,0,0,4.634422437,18.51,4.9605411,0,-8.6,2018,1,-1.738590688
NC,2,0,5.455164846,14.26,7.5551783,0,-8.6,2018,0,-1.302170877
NC,5,0,14.06958289,18.64,8.9552239,0,-8.6,2018,0,-0.485034116
NC,6,0,13.03207202,16.54,4.9319728,0,-8.6,2018,0,-0.78777198
NC,7,0,12.7415767,18.32,7.0647603,0,-8.6,2018,0,-0.770537014
NC,8,0,10.67740029,15.97,8.0602303,0,-8.6,2018,0,-0.723792062
NC,10,0,18.58547666,24.55,3.7319763,0,-8.6,2018,0,-1.081836543
NC,11,0,20.45592119,27.53,5.7921635,0,-8.6,2018,0,-0.740586451
NC,13,0,5.996172062,11.06,6,0,-8.6,2018,1,-0.325994323
NE,1,0,20.71845677,21.34,6.6270178,0,-8.6,2018,0,0.057654104
NE,2,0,1.990059762,6.65,4.3117745,0,-8.6,2018,1,-0.654216782
NE,3,0,53.44297341,51.03,3.9215686,0,-8.6,2018,0,3.049393146
NJ,3,0,-1.294663951,4.7,10.6365159,0,-8.6,2018,0,-0.919321143
NJ,4,0,12.33200158,15.57,12.7606339,0,-8.6,2018,0,-0.305189339
NJ,7,0,-5.019489251,5.85,14.439834,0,-8.6,2018,0,-0.991863497
NV,2,0,16.46153365,12,4.770017,0,-8.6,2018,0,0.582394915
NY,1,0,-0.981659156,9.06,8.1911263,0,-8.6,2018,0,-1.534709232
NY,2,0,1.559591571,6.29,8.462867,0,-8.6,2018,0,-0.952003078
NY,11,0,-8.539180842,7.87,7.8032231,0,-8.6,2018,0,-2.470886914
NY,19,0,-8.083031814,3.6,11.3333333,0,-8.6,2018,1,-0.946006928
NY,21,0,9.792703609,7.78,9.2422981,0,-8.6,2018,0,-0.095743546
